step,epoch,loss,eta
21150,19,0.029978,19.95
21200,19,0.035766,18.19
21250,19,0.019604,16.43
21300,19,0.001591,14.67
21350,19,0.010379,12.91
21400,19,0.004139,11.15
21450,19,0.014656,9.39
21500,19,0.023358,7.63
21550,19,0.005871,5.87
21600,19,0.006085,4.11
21650,19,0.037295,2.36
21700,19,0.022543,0.60
21750,20,0.020551,38.69
21800,20,0.031442,37.12
21850,20,0.002718,35.41
21900,20,0.018050,33.69
21950,20,0.026034,31.94
22000,20,0.001419,30.19
22050,20,0.006101,28.44
22100,20,0.054072,26.68
22150,20,0.012486,24.93
22200,20,0.003119,23.18
22250,20,0.000932,21.42
22300,20,0.002567,19.67
22350,20,0.064332,17.91
22400,20,0.004150,16.16
22450,20,0.014129,14.40
22500,20,0.024743,12.64
22550,20,0.033380,10.89
22600,20,0.110275,9.13
22650,20,0.015457,7.38
22700,20,0.003280,5.62
22750,20,0.010473,3.86
22800,20,0.010887,2.11
22850,20,0.021283,0.35
22900,21,0.028932,38.50
22950,21,0.014682,36.90
23000,21,0.012782,35.20
23050,21,0.000981,33.62
23100,21,0.008021,31.86
23150,21,0.011377,30.08
23200,21,0.012078,28.31
23250,21,0.008773,26.53
23300,21,0.006304,24.76
23350,21,0.010206,23.00
23400,21,0.015685,21.23
23450,21,0.004425,19.47
23500,21,0.004047,17.71
23550,21,0.013332,15.95
23600,21,0.033602,14.19
23650,21,0.002295,12.42
23700,21,0.013359,10.66
23750,21,0.002858,8.90
23800,21,0.004459,7.15
23850,21,0.007790,5.39
23900,21,0.028809,3.63
23950,21,0.001425,1.87
24000,21,0.051301,0.11
24050,22,0.006412,38.24
24100,22,0.052033,36.65
24150,22,0.005808,34.94
24200,22,0.029634,33.19
24250,22,0.018112,31.44
24300,22,0.002267,29.69
24350,22,0.004995,27.94
24400,22,0.053294,26.18
24450,22,0.005935,24.44
24500,22,0.000760,22.68
24550,22,0.011128,20.93
24600,22,0.005359,19.17
24650,22,0.020762,17.42
24700,22,0.011617,15.66
24750,22,0.002325,13.90
